TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-03-08 13:24:15,11845,26,0,2539,-296,-279,3700,29,-6758,1000,197,1065,30963,4555,2559,0,0,0
2026-03-08 13:29:16,11859,27,1,2969,3228,3227,3727,30,-6750,1000,176,1065,860053,737684,2819,8182,1930,20
2026-03-08 13:34:15,10423,39,1,3619,3197,3221,4096,39,-7005,1000,114,1065,1977829,5595720,3169,8449,1879,20
2026-03-08 13:39:15,9163,48,1,3359,2494,2513,4109,48,-7229,1000,111,1065,2664511,9605592,3079,8230,1866,20
2026-03-08 13:44:16,7948,56,1,3359,2497,2500,4162,56,-7445,1000,96,1065,3478947,13641359,3069,8432,1518,20
2026-03-08 13:49:15,6871,64,1,3250,2179,2186,4195,64,-7637,1000,162,1065,4199939,17264448,3019,8539,1406,20
2026-03-08 13:54:15,5954,70,1,3089,1740,1744,4210,70,-7800,1000,130,1065,4893727,20427019,2939,8618,1026,20
2026-03-08 13:59:15,5138,76,1,3009,1733,1738,4264,75,-7945,1000,130,1065,5535858,23292635,2859,8576,1105,20
2026-03-08 14:04:15,4427,81,1,2879,1420,1186,4266,80,-8072,1000,139,1065,6026172,25739326,2789,4621,1477,15
2026-03-08 14:10:24,3940,84,1,2729,1068,1054,4290,84,-8159,1000,162,1065,6387735,27436783,2679,4652,1116,15
2026-03-08 14:14:15,3900,85,0,2519,-241,-366,4133,84,-8166,745,177,1066,6820863,28012721,2519,0,0,0
2026-03-08 14:49:15,4493,84,0,2219,-78,-62,4085,80,-8060,1247,182,1065,8368945,28012721,2219,0,0,0
