TimeStamp,FamilyCode,ExternalConnected,AppleRawExternalConnected,ChargingOverride,NotChargingReason,VacVoltageLimit
2026-03-08 13:24:15,-536854521,0,0,,1024,4360
2026-03-08 13:24:21,-536854528,1,1,,0,4360
2026-03-08 13:28:20,,0,0,,1152,4360
2026-03-08 13:28:45,-536854518,1,1,,1024,4360
2026-03-08 14:11:01,,0,0,,1152,4360
2026-03-08 18:29:44,-536854528,1,1,,0,4360
2026-03-08 18:35:40,,0,0,,1152,4360
2026-03-08 23:06:24,-536854524,1,1,,1024,4360
2026-03-08 23:29:44,,0,0,,1152,4360
2026-03-09 04:28:25,-536854524,1,1,,1024,4360
2026-03-09 04:55:23,,0,0,,1152,4360
2026-03-09 09:17:43,-536854524,1,1,,1024,4360
2026-03-09 09:50:32,,0,0,,1152,4360
