TimeStamp,PresentDOD0,CurrentCapacity,IsCharging,Temperature,Amperage,InstantAmperage,Voltage,StateOfCharge,ChargeAccum,ResScale,RSS,ITMiscStatus,AccumulatedSystemLoad,AccumulatedSystemPowerIn,VirtualTemperature,SystemVoltageIn,SystemCurrentIn,Watts
2026-03-08 14:55:21,4565,83,0,2219,-301,-257,4061,80,-8047,1114,181,1065,11517,0,2219,0,0,0
2026-03-08 15:00:21,4796,82,0,2309,-177,-177,4048,78,-8006,1319,170,1066,596994,0,2309,0,0,0
2026-03-08 15:05:21,4905,81,0,2229,-302,-217,4028,77,-7987,1238,177,1065,878988,0,2229,0,0,0
2026-03-08 15:10:22,5023,80,0,2219,-171,-161,4028,76,-7966,1307,175,1064,1182094,0,2219,0,0,0
2026-03-08 15:15:21,5154,79,0,2250,-300,-309,3957,75,-7942,1190,174,1066,1518447,0,2239,0,0,0
2026-03-08 15:30:21,5359,78,0,2139,-143,-162,3952,74,-7906,1375,183,1066,2042449,0,2129,0,0,0
2026-03-08 15:35:21,5445,77,0,2100,-141,-130,3994,73,-7891,1186,186,1064,2263773,0,2100,0,0,0
2026-03-08 15:40:21,5587,76,0,2179,-171,-147,3975,72,-7865,1251,183,1067,2620563,0,2169,0,0,0
2026-03-08 15:45:22,5771,74,0,2319,-283,-258,3882,71,-7833,1393,173,1071,3087512,0,2309,0,0,0
2026-03-08 15:50:21,5956,73,0,2359,-258,-220,3941,70,-7800,1696,167,1070,3549620,0,2359,0,0,0
2026-03-08 15:55:21,6102,72,0,2269,-152,-141,3941,69,-7774,1396,180,1059,3916095,0,2269,0,0,0
2026-03-08 16:00:22,6233,71,0,2269,-261,-207,3894,68,-7751,1565,191,1058,4244530,0,2269,0,0,0
2026-03-08 16:05:21,6359,70,0,2329,-71,-68,3935,67,-7728,1572,199,1057,4558853,0,2329,0,0,0
2026-03-08 16:20:21,6504,69,0,2129,-142,-136,3920,66,-7702,1145,224,1057,4922229,0,2129,0,0,0
2026-03-08 16:30:21,6679,68,0,2129,-368,-1013,3883,65,-7671,1202,227,1058,5359373,0,2119,0,0,0
